;;Categorical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Numerical;Numerical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Numero_De_Inventario;Cava;Especie;Id del Centro;Longevidad;Ultimo Monitoreo
BGVCOL15060160;171840;2.83;5;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060187;171840;4.94;15;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060187;171840;2.3;5;3;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060187;171840;0.21;5;2;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060188;171840;4.25;5;1;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060188;171840;0.8;5;1;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060188;171840;2.99;5;3;1;3;0°C B-1;Solanum tuberosum subsp. andigena;0;0;1
BGVCOL15060190;171840;6.34;5;2;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060190;171840;7.16;5;2;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060191;171840;0.39;2;2;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060215;171840;9.61;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060313;171840;3.77;2;3;2;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060320;171840;5.21;5;1;1;2;0°C B-1;Solanum tuberosum subsp. andigena;0;1;1
BGVCOL15060345;171840;8;15;3;1;1;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
BGVCOL15060345;171840;9.69;5;3;3;2;0°C B-1;Solanum tuberosum subsp. andigena;0;2;1
