CNR;ParentCNR;Cat;Count;Estado de Disponibilidad;Germinacion;Cantidad de Semillas;Longevidad;Ultimo Monitoreo;Estado de Disponibilidad.NA;Germinacion.NA;Cantidad de Semillas.NA;Longevidad.NA;Ultimo Monitoreo.NA
191810;1918;Cava Desconocida;41;4;1.24;1;0;1;0;0;0;0;0
191820;1918;M20GC;8;5.38;2.88;3;0;1;0;0;0;0;0
191840;1918;4GC;196;11.37;2.15;1.36;0;1;0;0;0;0;0
1919;19;Solanum  saponaceum;4;7.5;1;1;0;1;0;0;0;0;0
191940;1919;4GC;4;7.5;1;1;0;1;0;0;0;0;0
1920;19;Solanum  sessiliflorum;21;10.52;1.9;1;0;1;0;0;0;0;0
192010;1920;Cava Desconocida;2;4;2;1;0;1;0;0;0;0;0
20;Vegetables and melons;Tomate de mesa;358;6.45;2.7;2.16;0;1;0;0;0;0;0
2010;20;Solanum habrochaites;44;5;2.95;2.43;0;1;0;0;0;0;0
201020;2010;M20GC;22;5;2.95;2.32;0;1;0;0;0;0;0
201040;2010;4GC;22;5;2.95;2.55;0;1;0;0;0;0;0
2011;20;Solanum lycopersicum;80;9.62;2.22;1.46;0;1;0;0;0;0;0
201120;2011;M20GC;14;5;3;2.14;0;1;0;0;0;0;0
201140;2011;4GC;66;10.61;2.06;1.32;0;1;0;0;0;0;0
2012;20;Solanum neorickii;27;5.22;2.93;2.63;0;1;0;0;0;0;0
201220;2012;M20GC;13;5.23;2.92;2.62;0;1;0;0;0;0;0
201240;2012;4GC;14;5.21;2.93;2.64;0;1;0;0;0;0;0
2013;20;Solanum pennellii;1;5;3;3;0;1;0;0;0;0;0
201340;2013;4GC;1;5;3;3;0;1;0;0;0;0;0
2014;20;Solanum peruvianum;1;5;3;3;0;1;0;0;0;0;0
201440;2014;4GC;1;5;3;3;0;1;0;0;0;0;0
2015;20;Solanum pimpinellifolium;96;5.33;2.94;2.44;0;1;0;0;0;0;0
201520;2015;M20GC;46;5;3;2.04;0;1;0;0;0;0;0
201540;2015;4GC;50;5.64;2.88;2.8;0;1;0;0;0;0;0
2016;20;Solanum sp.;37;7.89;2;1.78;0;1;0;0;0;0;0
201610;2016;Cava Desconocida;10;4;1.4;1;0;1;0;0;0;0;0
201620;2016;M20GC;1;5;3;3;0;1;0;0;0;0;0
201640;2016;4GC;26;9.5;2.19;2.04;0;1;0;0;0;0;0
2017;20;Solanum subsect. lycopersicon hybr.;57;5.07;3;2.35;0;1;0;0;0;0;0
201720;2017;M20GC;29;5;3;2;0;1;0;0;0;0;0
201740;2017;4GC;28;5.14;3;2.71;0;1;0;0;0;0;0
2018;20;Solanum lycopersicum var. cerasiforme;15;5;3;2.6;0;1;0;0;0;0;0
201820;2018;M20GC;5;5;3;2.2;0;1;0;0;0;0;0
201840;2018;4GC;10;5;3;2.8;0;1;0;0;0;0;0
18;Vegetables and melons;Berenjena;2;5;3;2.5;0;1;0;0;0;0;0
1810;18;Solanum melongena;2;5;3;2.5;0;1;0;0;0;0;0
181040;1810;4GC;1;5;3;3;0;1;0;0;0;0;0
13;Cereals;Sorgo;923;12.62;2.8;1.59;0;1.4;0;0;0;0;0
1310;13;Sorghum bicolor;923;12.62;2.8;1.59;0;1.4;0;0;0;0;0
131020;1310;M20GC;743;14.47;2.84;1.68;0;1.5;0;0;0;0;0
131040;1310;4GC;180;5;2.62;1.22;0;1;0;0;0;0;0
12;Cereals;Maiz;519;9.67;2.23;1.32;0;1;0;0;0;0;0
1210;12;Zea mays;519;9.67;2.23;1.32;0;1;0;0;0;0;0
121020;1210;M20GC;197;7.38;2.66;1.66;0;1.01;0;0;0;0;0
121040;1210;4GC;322;11.07;1.96;1.11;0;1;0;0;0;0;0
root;"";CGN collection;8447;9.15;2.42;1.87;0.09;1.19;0;0;0;0;0
Leguminous crops;root;Leguminous crops;2577;6.58;2.57;1.5;0;1;0;0;0;0;0
Cereals;root;Cereals;2480;10.25;2.56;1.52;0;1.43;0;0;0;0;0
Fruits and nuts;root;Fruits and nuts;564;11.66;1.84;2.55;0;1.17;0;0;0;0;0
Root/tuber crops with high starch or inulin conten;root;Root/tuber crops with high starch or inulin conten;2142;8.49;2.37;1.75;1.02;1;0;0;0;0;0
Vegetables and melons;root;Vegetables and melons;684;7.08;2.59;2.03;0;1;0;0;0;0;0
