PATH;Group
141310;Cava Desconocida
141320;M20GC
141330;M10GC
141340;4GC
1414;Rubus pallidus
141410;Cava Desconocida
141420;M20GC
141430;M10GC
141440;4GC
1415;Rubus peruvianus
141510;Cava Desconocida
141520;M20GC
141530;M10GC
141540;4GC
1416;Rubus robustus
141610;Cava Desconocida
141620;M20GC
141630;M10GC
141640;4GC
1417;Rubus rosifolius
141710;Cava Desconocida
141720;M20GC
141730;M10GC
141740;4GC
1418;Rubus sp
141810;Cava Desconocida
141820;M20GC
141830;M10GC
141840;4GC
1419;Rubus urticifolius
141910;Cava Desconocida
141920;M20GC
141930;M10GC
141940;4GC
17;Papa
1710;Solanum  antipoviczii
171010;Cava Desconocida
171020;M20GC
171030;M10GC
171040;4GC
1711;Solanum  colombianum
171110;Cava Desconocida
171120;M20GC
171130;M10GC
171140;4GC
1712;Solanum  curtilobum
171210;Cava Desconocida
171220;M20GC
171230;M10GC
171240;4GC
1713;Solanum  malinchense
171310;Cava Desconocida
171320;M20GC
171330;M10GC
171340;4GC
1714;Solanum chmielewskii
171410;Cava Desconocida
171420;M20GC
171430;M10GC
171440;4GC
1715;Solanum corneliomulleri
171510;Cava Desconocida
171520;M20GC
171530;M10GC
171540;4GC
1716;Solanum phureja subsp. phureja
171610;Cava Desconocida
171620;M20GC
171630;M10GC
171640;4GC
1717;Solanum sp
171710;Cava Desconocida
171720;M20GC
171730;M10GC
171740;4GC
1718;Solanum tuberosum subsp. andigena
171810;Cava Desconocida
171820;M20GC
171830;M10GC
171840;4GC
1719;Solanum tuberosum subsp. tuberosum
171910;Cava Desconocida
171920;M20GC
171930;M10GC
171940;4GC
19;Lulo
1910;Solanum  capsicoides
191010;Cava Desconocida
191020;M20GC
191030;M10GC
191090;4GC
1911;Solanum  hirtum
191110;Cava Desconocida
191120;M20GC
191130;M10GC
191140;4GC
1912;Solanum  jamaicense
191210;Cava Desconocida
191220;M20GC
191230;M10GC
191240;4GC
1913;Solanum  macracanthum
191310;Cava Desconocida
191320;M20GC
191330;M10GC
191340;4GC
1914;Solanum  mammosum
191410;Cava Desconocida
191420;M20GC
191430;M10GC
191440;4GC
1915;Solanum  marginatum
191510;Cava Desconocida
191520;M20GC
191530;M10GC
191540;4GC
1916;Solanum  pectinatum
191610;Cava Desconocida
191620;M20GC
191630;M10GC
191640;4GC
1917;Solanum  pseudolulo
191710;Cava Desconocida
191720;M20GC
191730;M10GC
191740;4GC
1918;Solanum  quitoense
191810;Cava Desconocida
191820;M20GC
191830;M10GC
191840;4GC
1919;Solanum  saponaceum
191910;Cava Desconocida
191920;M20GC
191930;M10GC
191940;4GC
1920;Solanum  sessiliflorum
192010;Cava Desconocida
192020;M20GC
192030;M10GC
192090;4GC
1921;Solanum sp.
192110;Cava Desconocida
192120;M20GC
192130;M10GC
192140;4GC
20;Tomate de mesa
2010;Solanum habrochaites
201010;Cava Desconocida
201020;M20GC
201030;M10GC
201040;4GC
2011;Solanum lycopersicum
201100;Cava Desconocida
201120;M20GC
201130;M10GC
201140;4GC
2012;Solanum neorickii
201210;Cava Desconocida
201220;M20GC
201230;M10GC
201240;4GC
2013;Solanum pennellii
201310;Cava Desconocida
201320;M20GC
201330;M10GC
201340;4GC
2014;Solanum peruvianum
201410;Cava Desconocida
201420;M20GC
201430;M10GC
201440;4GC
2015;Solanum pimpinellifolium
201510;Cava Desconocida
201520;M20GC
201530;M10GC
201540;4GC
2016;Solanum sp.
201610;Cava Desconocida
201620;M20GC
201630;M10GC
201640;4GC
2017;Solanum subsect. lycopersicon hybr.
201710;Cava Desconocida
201720;M20GC
201730;M10GC
201740;4GC
2018;Solanum lycopersicum var. cerasiforme
201810;Cava Desconocida
201820;M20GC
201830;M10GC
201840;4GC
18;Berenjena
1810;Solanum melongena
181010;Cava Desconocida
181080;M20GC
181030;M10GC
181040;4GC
13;Sorgo
1310;Sorghum bicolor
131010;Cava Desconocida
131020;M20GC
131030;M10GC
131040;4GC
12;Maiz 
1210;Zea mays
121010;Cava Desconocida
121020;M20GC
121030;M10GC
121040;4GC
