;;Numerical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical
;;Mean number of distributions per year in the collection;"Assessment of germi6tion of the base sample; 1 being the best and 4 the worst";Calses de germinacion;Cantidad de semillas disonibles;Numero de inventario;Cava y Bolsa;Genus and species;Id ubicacion del centro de investigacion donde se encuentra;Years in the collection;Current age of the base sample used for regeneration
ARN;PATH;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Numero de Inventario;Sufijo de Inventario;Species;ID Centro ;Fecha de entrada a cava;Fecha de ultima prueba
BGVCOL11030015;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030015;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030016;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030016;1001112;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030017;1001311;5;7;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030017;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030018;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030018;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030019;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030019;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030020;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030020;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030021;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030021;1001112;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030022;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030022;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030023;1001311;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030023;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030024;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030024;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030025;1001312;5;1;3.0;2;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030025;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030026;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030026;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030027;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030027;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030028;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030028;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030029;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030029;1001112;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030030;1001311;5;8;1.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030030;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030031;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030031;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030032;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030032;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030033;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030033;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030034;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030034;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030035;1001311;5;7;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030035;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030036;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030036;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030037;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030037;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030038;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030038;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030039;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030039;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030040;1001311;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030040;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030041;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030041;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030042;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030042;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030043;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030043;1001112;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030044;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030044;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030045;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030045;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030046;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030046;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030047;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030047;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030048;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;29/10/2004 0:00
BGVCOL11030048;1001311;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030048;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030049;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030049;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030050;1001312;5;7;1.0;2;;0°C B-1;Glycine max;45;0.0;1/01/2004 0:00
BGVCOL11030050;1001312;5;7;1.0;2;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030050;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030051;1001311;5;4;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030051;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030052;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030052;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030053;1001311;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030053;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030054;1001311;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030054;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030055;1001311;5;4;2.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030056;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030056;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030057;1001311;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;1/10/2004 0:00
BGVCOL11030057;1001311;5;4;1.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030057;1001112;5;7;2.0;2;;-20°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030058;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030058;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030059;1001311;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;10/01/2014 0:00
BGVCOL11030059;1001112;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
