,ARN,PATH,Use/yr,Estado de Disponibilidad,Germinacion,Cantidad de Semillas,Numero_De_Inventario,Cava,Especie,Id del Centro,Longevidad,Ultimo Monitoreo
141,BGVCOL15061007,171840.0,5.83,5,3.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
142,BGVCOL15061007,171820.0,9.21,15,2.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
143,BGVCOL15061011,171840.0,1.66,5,2.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
144,BGVCOL15061022,171840.0,5.1,15,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
145,BGVCOL15061022,171840.0,2.17,5,1.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
146,BGVCOL15061140,171840.0,0.51,5,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
147,BGVCOL15061204,171840.0,4.37,5,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
148,BGVCOL15061215,171840.0,4.9,2,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
149,BGVCOL15061228,171840.0,5.91,5,1.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
150,BGVCOL15061228,171840.0,9.54,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
151,BGVCOL15061235,171840.0,2.21,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
152,BGVCOL15061236,171840.0,7.67,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
153,BGVCOL15061236,171820.0,3.39,5,3.0,1,2.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
154,BGVCOL15061237,171840.0,7.32,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
155,BGVCOL15061239,171840.0,7.52,5,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
156,BGVCOL15061239,171820.0,6.74,5,3.0,1,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
157,BGVCOL15061244,171840.0,9.18,5,1.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
158,BGVCOL15061260,171840.0,6.3,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
159,BGVCOL15061260,171840.0,3.78,5,3.0,3,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
160,BGVCOL15061261,171840.0,5.01,5,2.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
161,BGVCOL15061261,171840.0,0.73,5,2.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
162,BGVCOL15061262,171840.0,8.07,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
163,BGVCOL15061262,171840.0,9.53,5,2.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
164,BGVCOL15061262,171820.0,8.51,15,3.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
165,BGVCOL15061263,171840.0,3.33,15,3.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
166,BGVCOL15061263,171820.0,2.14,15,3.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
167,BGVCOL15061264,171840.0,6.41,15,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
168,BGVCOL15061264,171840.0,6.25,5,2.0,2,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
169,BGVCOL15061265,171840.0,7.55,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
170,BGVCOL15061265,171840.0,0.08,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
171,BGVCOL15061271,171840.0,8.42,15,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
172,BGVCOL15061271,171840.0,8.4,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
173,BGVCOL15061271,171820.0,3.75,5,3.0,3,2.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
174,BGVCOL15061273,171840.0,2.45,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
175,BGVCOL15061273,171840.0,5.31,5,3.0,3,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
176,BGVCOL15061273,171840.0,1.67,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
177,BGVCOL15061273,171820.0,6.64,5,3.0,2,3.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
178,BGVCOL15061274,171840.0,2.38,15,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
179,BGVCOL15061274,171840.0,8.51,5,3.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
180,BGVCOL15061277,171840.0,7.66,5,3.0,2,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
181,BGVCOL15061279,171840.0,2.71,15,2.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
182,BGVCOL15061279,171840.0,7.81,5,3.0,1,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
183,BGVCOL15061279,171820.0,1.44,15,2.0,2,1.0,­-20°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
184,BGVCOL15061280,171840.0,4.7,15,3.0,1,1.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,2.0,1.0
185,BGVCOL15061280,171840.0,4.15,5,3.0,2,2.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,0.0,1.0
186,BGVCOL15061280,171840.0,1.61,2,2.0,1,3.0,0°C B-1,Solanum tuberosum subsp. andigena,0.0,1.0,1.0
