;;Numerical;Numerical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical
ARN;PATH;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Numero de Inventario;Sufijo de Inventario;Species;ID Centro ;Fecha de entrada a cava;Fecha de ultima prueba
BGVCOL11030083;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030084;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030085;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030085;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030086;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030086;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030087;1001030101;5;8;2.0;1;;0°C B-1;Glycine max;45;0.0;4/04/2014 0:00
BGVCOL11030087;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030088;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030088;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030089;1001030101;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030089;1001030101;5;4;1.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030089;1001010101;5;1;3.0;1;;-20°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030090;1001030102;5;4;1.0;2;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030090;1001030101;5;7;1.0;1;;0°C B-1;Glycine max;45;0.0;11/03/2014 0:00
BGVCOL11030090;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030090;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;8/01/2004 0:00
BGVCOL11030091;1001030101;5;1;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030091;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030092;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030092;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030093;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030093;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030094;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030094;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030095;1001030101;5;4;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030095;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030096;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030096;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030097;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030097;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;1/02/2001 0:00
BGVCOL11030098;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030098;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;16/07/2012 0:00
BGVCOL11030099;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030099;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
BGVCOL11030100;1001030101;5;8;3.0;1;;0°C B-1;Glycine max;45;0.0;11/01/2014 0:00
BGVCOL11030100;1001010102;5;1;3.0;2;;-20°C B-1;Glycine max;45;0.0;11/05/2001 0:00
