CNR;ParentCNR;Cat;Count;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Use/yr.NA;Estado de disponibilidad.NA;Clases de gerninacion.NA;Cantida De Semillas.NA
2101030103;21010301;Alto;12;5.33;1;2.92;2.58;0;0;0;0
2102;21;Solanum lycopersicum;80;3.4;2.88;2.22;1.46;0;0;0;0
210201;2102;M20GC;14;4.14;1.5;3;2.43;0;0;0;0
21020101;210201;Ortodoxas;14;4.14;1.5;3;2.43;0;0;0;0
2102010101;21020101;Bajo;1;3;1;3;1;0;0;0;0
2102010102;21020101;Medio;10;4.2;1.7;3;2.4;0;0;0;0
2102010103;21020101;Alto;3;4.33;1;3;3;0;0;0;0
210203;2102;4GC;66;3.24;3.17;2.06;1.26;0;0;0;0
21020301;210203;Ortodoxas;66;3.24;3.17;2.06;1.26;0;0;0;0
2102030101;21020301;Bajo;53;3.08;3.7;1.83;1.02;0;0;0;0
2102030102;21020301;Medio;5;3.8;1;3;2;0;0;0;0
2102030103;21020301;Alto;8;4;1;3;2.38;0;0;0;0
2103;21;Solanum neorickii;29;6.72;1.41;2.93;2.66;0;0;0;0
210301;2103;M20GC;13;7;1.46;2.92;2.62;0;0;0;0
21030101;210301;Ortodoxas;13;7;1.46;2.92;2.62;0;0;0;0
2103010102;21030101;Medio;5;7;1;3;2;0;0;0;0
2103010103;21030101;Alto;8;7;1.75;2.88;3;0;0;0;0
210303;2103;4GC;16;6.5;1.38;2.94;2.69;0;0;0;0
21030301;210303;Ortodoxas;16;6.5;1.38;2.94;2.69;0;0;0;0
2103030102;21030301;Medio;5;7;1;3;2;0;0;0;0
2103030103;21030301;Alto;11;6.27;1.55;2.91;3;0;0;0;0
2106;21;Solanum pimpinellifolium;96;3.25;1.12;2.94;2.44;0;0;0;0
210601;2106;M20GC;52;3.23;1.23;2.88;2.77;0;0;0;0
21060101;210601;Ortodoxas;52;3.23;1.23;2.88;2.77;0;0;0;0
2106010102;21060101;Medio;52;3.23;1.23;2.88;2.77;0;0;0;0
210603;2106;4GC;44;3.27;1;3;2.05;0;0;0;0
21060301;210603;Ortodoxas;44;3.27;1;3;2.05;0;0;0;0
2106030103;21060301;Alto;44;3.27;1;3;2.05;0;0;0;0
2107;21;Solanum sp.;18;3.44;1;3;2.44;0;0;0;0
210701;2107;M20GC;8;3.5;1;3;2.62;0;0;0;0
21070101;210701;Ortodoxas;8;3.5;1;3;2.62;0;0;0;0
2107010102;21070101;Medio;8;3.5;1;3;2.62;0;0;0;0
210703;2107;4GC;10;3.4;1;3;2.3;0;0;0;0
21070301;210703;Ortodoxas;10;3.4;1;3;2.3;0;0;0;0
2107030102;21070301;Medio;2;3;1;3;2;0;0;0;0
2107030103;21070301;Alto;8;3.5;1;3;2.38;0;0;0;0
2108;21;Solanum subsect. lycopersicon hybr.;57;3.63;1.25;3;2.35;0;0;0;0
210801;2108;M20GC;29;3.55;1.48;3;2.69;0;0;0;0
21080101;210801;Ortodoxas;29;3.55;1.48;3;2.69;0;0;0;0
2108010102;21080101;Medio;29;3.55;1.48;3;2.69;0;0;0;0
210803;2108;4GC;28;3.71;1;3;2;0;0;0;0
21080301;210803;Ortodoxas;28;3.71;1;3;2;0;0;0;0
2108030101;21080301;Bajo;3;5.67;1;3;2;0;0;0;0
2108030102;21080301;Medio;2;3;1;3;2;0;0;0;0
2108030103;21080301;Alto;23;3.52;1;3;2;0;0;0;0
2109;21;Solanum lycopersicum var. cerasiforme;25;3.4;2.24;2.48;2.08;0;0;0;0
210901;2109;M20GC;5;3.8;1;3;3;0;0;0;0
21090101;210901;Ortodoxas;5;3.8;1;3;3;0;0;0;0
2109010102;21090101;Medio;4;3;1;3;3;0;0;0;0
2109010103;21090101;Alto;1;7;1;3;3;0;0;0;0
210903;2109;4GC;20;3.3;2.55;2.35;1.85;0;0;0;0
