,Accession_id,Inventory_id,ARN,Especie,Cantidad_De_Semilla,Estado_De_Disponibilidad,Numero_De_Inventario,Cava,Fecha_De_Origen,Fecha_ultima_Prueba,Porcentaje_Normal,Fecha_De_Entrada_Cava
5953,8045,41379,BGVCOL11030845,Glycine max,2,5,2.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5954,8045,41380,BGVCOL11030845,Glycine max,2,13,3.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
5955,8045,41381,BGVCOL11030845,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2006-12-21 00:00:00,3.0,0.0
5956,8046,41382,BGVCOL11030846,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5957,8046,41383,BGVCOL11030846,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5958,8048,41384,BGVCOL11030848,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
5959,8048,41385,BGVCOL11030848,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5960,8049,41386,BGVCOL11030849,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5961,8049,41387,BGVCOL11030849,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5962,8050,41388,BGVCOL11030850,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5963,8050,41389,BGVCOL11030850,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5964,8051,41390,BGVCOL11030851,Glycine max,2,13,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
5965,8052,41391,BGVCOL11030852,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
5966,8052,41392,BGVCOL11030852,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5967,8053,41393,BGVCOL11030853,Glycine max,1,5,1.0,0°C B-1,1998-03-01 00:00:00,2006-04-26 00:00:00,3.0,0.0
5968,8053,41394,BGVCOL11030853,Glycine max,1,5,2.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5969,8053,41395,BGVCOL11030853,Glycine max,2,13,3.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
5970,8053,41396,BGVCOL11030853,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2006-04-26 00:00:00,3.0,0.0
5971,8054,41397,BGVCOL11030854,Glycine max,1,8,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
5972,8054,41398,BGVCOL11030854,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
5973,8055,41399,BGVCOL11030855,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
5974,8055,41400,BGVCOL11030855,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5975,8056,41401,BGVCOL11030856,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5976,8056,41402,BGVCOL11030856,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5977,8057,41403,BGVCOL11030857,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
5978,8057,41404,BGVCOL11030857,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
5979,8058,41405,BGVCOL11030858,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,1.0,0.0
5980,8058,41406,BGVCOL11030858,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5981,8059,41407,BGVCOL11030859,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
5982,8059,41408,BGVCOL11030859,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5983,8060,41409,BGVCOL11030860,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5984,8060,41410,BGVCOL11030860,Glycine max,2,5,2.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5985,8061,41411,BGVCOL11030861,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5986,8061,41412,BGVCOL11030861,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-09-01 00:00:00,3.0,0.0
5987,8062,41413,BGVCOL11030862,Glycine max,1,13,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5988,8062,41414,BGVCOL11030862,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5989,8063,41415,BGVCOL11030863,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5990,8063,41416,BGVCOL11030863,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2012-08-13 00:00:00,3.0,0.0
5991,8064,41417,BGVCOL11030864,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5992,8064,41418,BGVCOL11030864,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5993,8065,41419,BGVCOL11030865,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5994,8065,41420,BGVCOL11030865,Glycine max,2,5,1.0,-20°C B-1,1998-03-01 00:00:00,2001-02-01 00:00:00,3.0,0.0
5995,8066,41421,BGVCOL11030866,Glycine max,1,7,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,3.0,0.0
5996,8067,41422,BGVCOL11030867,Glycine max,2,8,1.0,0°C B-1,1998-03-01 00:00:00,2015-01-06 00:00:00,2.0,0.0
